Date,Open,High,Low,Close
01/27/2021,"31,993","32,879","29,288","31,030"
01/26/2021,"32,681","32,812","30,921","31,993"
01/25/2021,"31,934","34,860","31,731","32,643"
01/24/2021,"32,399","33,069","31,012","31,934"
01/23/2021,"33,375","33,642","31,471","32,340"
01/22/2021,"31,275","33,842","28,898","33,375"
01/21/2021,"34,919","35,664","31,048","31,275"
01/20/2021,"36,494","36,788","33,487","34,892"
01/19/2021,"36,252","37,843","36,170","36,494"
01/18/2021,"36,530","37,433","34,841","36,255"
01/17/2021,"35,935","36,828","33,928","36,530"
01/16/2021,"36,324","37,938","35,624","35,785"
01/15/2021,"38,757","39,673","34,446","36,324"
01/14/2021,"37,248","40,030","36,799","38,863"
01/13/2021,"34,736","37,358","32,466","37,248"
01/12/2021,"34,088","36,612","32,585","34,766"
01/11/2021,"37,984","38,931","30,323","34,184"
01/10/2021,"40,802","41,423","35,193","37,984"
01/09/2021,"39,927","41,401","38,775","40,769"
01/08/2021,"39,596","41,958","36,722","39,927"
01/07/2021,"35,934","40,358","35,806","39,596"
01/06/2021,"33,788","36,452","33,478","35,848"
01/05/2021,"31,029","34,221","29,991","33,788"
01/04/2021,"33,581","33,649","28,258","31,027"
01/03/2021,"31,714","34,524","31,494","33,581"
01/02/2021,"29,243","33,219","29,050","31,690"
01/01/2021,"28,965","29,650","28,754","29,259"
12/31/2020,"28,898","29,298","27,989","28,966"
12/30/2020,"26,870","28,980","26,870","28,896"
12/29/2020,"26,606","27,164","25,926","26,870"
12/28/2020,"26,303","27,404","26,136","26,634"
12/27/2020,"26,666","28,326","25,824","26,303"
12/26/2020,"24,409","26,753","24,379","26,648"
12/25/2020,"23,399","24,657","23,379","24,409"
12/24/2020,"23,295","23,546","22,689","23,384"
12/23/2020,"23,434","24,085","22,863","23,299"
12/22/2020,"23,138","23,598","22,385","23,434"
12/21/2020,"23,406","24,094","22,080","23,146"
12/20/2020,"23,988","24,244","23,117","23,494"
12/19/2020,"22,898","24,128","22,805","24,004"
12/18/2020,"22,775","23,278","22,398","22,911"
12/17/2020,"21,200","23,685","21,200","22,767"
12/16/2020,"19,431","21,275","19,319","21,240"
12/15/2020,"19,199","19,561","19,086","19,431"
12/14/2020,"19,182","19,314","18,996","19,201"
12/13/2020,"18,800","19,414","18,734","19,182"
12/12/2020,"18,106","18,837","18,033","18,794"
12/11/2020,"18,351","18,396","17,604","18,106"
12/10/2020,"18,550","18,650","17,938","18,352"
12/09/2020,"18,776","18,823","17,653","18,550"
12/08/2020,"19,087","19,302","18,632","18,784"
12/07/2020,"19,249","19,429","18,924","19,087"
12/06/2020,"19,019","19,339","18,895","19,246"
12/05/2020,"18,828","19,186","18,512","19,019"
12/04/2020,"19,465","19,550","18,735","18,833"
12/03/2020,"19,160","19,618","18,920","19,465"
12/02/2020,"19,089","19,337","18,362","19,161"
12/01/2020,"19,380","19,928","18,229","19,089"
11/30/2020,"18,267","19,835","18,094","19,376"
11/29/2020,"17,765","18,330","17,556","18,267"
11/28/2020,"17,037","17,891","16,895","17,764"
11/27/2020,"17,122","17,463","16,508","17,037"
11/26/2020,"18,859","18,924","16,311","17,122"
11/25/2020,"18,938","19,495","18,649","18,846"
11/24/2020,"18,419","19,414","18,120","18,938"
11/23/2020,"18,585","18,759","18,012","18,426"
11/22/2020,"18,635","18,733","17,666","18,585"
11/21/2020,"18,586","18,964","18,443","18,638"
11/20/2020,"17,939","18,809","17,732","18,586"
11/19/2020,"17,781","18,163","17,377","17,939"
11/18/2020,"17,633","18,467","17,318","17,781"
11/17/2020,"16,717","17,837","16,569","17,627"
11/16/2020,"15,859","16,885","15,795","16,717"
11/15/2020,"15,996","16,149","15,824","15,865"
11/14/2020,"16,287","16,362","15,738","15,997"
11/13/2020,"16,155","16,486","15,984","16,287"
11/12/2020,"15,799","16,204","15,499","16,150"
11/11/2020,"15,393","15,959","15,293","15,799"
11/10/2020,"15,392","15,470","15,092","15,393"
11/09/2020,"15,333","15,845","14,866","15,392"
11/08/2020,"14,846","15,652","14,692","15,347"
11/07/2020,"15,549","15,760","14,428","14,846"
11/06/2020,"15,244","15,937","15,206","15,561"
11/05/2020,"14,005","15,291","14,005","15,244"
11/04/2020,"13,733","14,240","13,556","14,002"
11/03/2020,"13,619","13,798","13,308","13,733"
11/02/2020,"13,816","13,837","13,243","13,622"
11/01/2020,"13,847","13,894","13,645","13,816"
10/31/2020,"13,644","14,047","13,440","13,841"
10/30/2020,"13,484","13,673","13,146","13,644"
10/29/2020,"13,208","13,641","12,990","13,482"
10/28/2020,"13,619","13,847","12,925","13,208"
10/27/2020,"13,025","13,754","13,000","13,632"
10/26/2020,"13,038","13,242","12,810","13,025"
10/25/2020,"13,103","13,339","12,911","13,040"
10/24/2020,"12,941","13,161","12,887","13,103"
10/23/2020,"13,128","13,197","12,746","12,941"
10/22/2020,"12,856","13,216","12,706","13,128"
10/21/2020,"11,904","12,905","11,889","12,853"
10/20/2020,"11,732","12,044","11,693","11,904"
10/19/2020,"11,447","11,811","11,419","11,732"
10/18/2020,"11,357","11,500","11,345","11,447"
10/17/2020,"11,319","11,406","11,283","11,356"
10/16/2020,"11,558","11,558","11,231","11,314"
10/15/2020,"11,398","11,593","11,288","11,544"
10/14/2020,"11,437","11,546","11,306","11,396"
10/13/2020,"11,564","11,719","11,322","11,437"
10/12/2020,"11,342","11,599","11,225","11,564"
10/11/2020,"11,371","11,436","11,277","11,350"
10/10/2020,"11,041","11,464","11,029","11,371"
10/09/2020,"10,894","11,099","10,848","11,042"
10/08/2020,"10,662","10,945","10,558","10,894"
10/07/2020,"10,557","10,678","10,546","10,660"
10/06/2020,"10,740","10,797","10,544","10,557"
10/05/2020,"10,652","10,754","10,635","10,741"
10/04/2020,"10,580","10,700","10,536","10,652"
10/03/2020,"10,540","10,607","10,475","10,580"
10/02/2020,"10,613","10,668","10,401","10,540"
10/01/2020,"10,707","10,920","10,471","10,613"
09/30/2020,"10,761","10,865","10,675","10,711"
09/29/2020,"10,871","10,892","10,647","10,761"
09/28/2020,"10,727","10,948","10,712","10,871"
09/27/2020,"10,721","10,802","10,609","10,727"
09/26/2020,"10,713","10,798","10,661","10,720"
09/25/2020,"10,624","10,772","10,576","10,713"
09/24/2020,"10,216","10,705","10,204","10,637"
09/23/2020,"10,521","10,579","10,144","10,216"
09/22/2020,"10,479","10,539","10,379","10,520"
09/21/2020,"10,858","10,988","10,323","10,479"
09/20/2020,"11,093","11,093","10,782","10,861"
09/19/2020,"10,900","11,164","10,892","11,093"
09/18/2020,"10,938","11,040","10,833","10,900"
09/17/2020,"11,000","11,058","10,765","10,938"
09/16/2020,"10,870","11,101","10,681","11,000"
09/15/2020,"10,697","10,944","10,634","10,870"
09/14/2020,"10,324","10,752","10,262","10,694"
09/13/2020,"10,446","10,586","10,231","10,324"
09/12/2020,"10,329","10,485","10,289","10,447"
09/11/2020,"10,308","10,384","10,222","10,329"
09/10/2020,"10,265","10,476","10,187","10,307"
09/09/2020,"10,027","10,351","9,891","10,265"
09/08/2020,"10,142","10,437","9,953","10,030"
09/07/2020,"10,243","10,354","9,893","10,142"
09/06/2020,"10,112","10,308","9,970","10,242"
09/05/2020,"10,610","10,639","9,905","10,112"
09/04/2020,"10,793","10,812","10,042","10,610"
09/03/2020,"11,372","11,461","10,558","10,794"
09/02/2020,"12,023","12,051","11,223","11,372"
09/01/2020,"11,685","12,062","11,561","12,023"
08/31/2020,"11,643","11,785","11,580","11,683"
08/30/2020,"11,528","11,694","11,477","11,643"
08/29/2020,"11,500","11,591","11,448","11,528"
08/28/2020,"11,271","11,553","11,258","11,500"
08/27/2020,"11,499","11,573","11,152","11,272"
08/26/2020,"11,275","11,542","11,270","11,499"
08/25/2020,"11,743","11,792","11,150","11,272"
08/24/2020,"11,674","11,832","11,609","11,743"
08/23/2020,"11,616","11,724","11,537","11,680"
08/22/2020,"11,625","11,658","11,395","11,616"
08/21/2020,"11,871","11,899","11,624","11,634"
08/20/2020,"11,733","11,896","11,697","11,871"
08/19/2020,"12,035","12,103","11,630","11,728"
08/18/2020,"12,331","12,413","11,875","12,035"
08/17/2020,"11,857","12,466","11,779","12,329"
08/16/2020,"11,876","11,981","11,716","11,857"
08/15/2020,"11,777","11,987","11,731","11,876"
08/14/2020,"11,621","11,864","11,621","11,777"
08/13/2020,"11,575","11,655","11,291","11,640"
08/12/2020,"11,239","11,624","11,151","11,573"
08/11/2020,"11,871","11,940","11,159","11,239"
08/10/2020,"11,681","12,070","11,557","11,866"
08/09/2020,"11,715","11,803","11,542","11,681"
08/08/2020,"11,581","11,812","11,549","11,715"
08/07/2020,"11,854","11,920","11,370","11,581"
08/06/2020,"11,692","11,917","11,590","11,854"
08/05/2020,"11,216","11,724","11,117","11,692"
08/04/2020,"11,387","11,421","11,068","11,213"
08/03/2020,"11,097","11,479","10,986","11,387"
08/02/2020,"11,835","12,097","10,711","11,102"
08/01/2020,"11,359","11,874","11,245","11,835"
07/31/2020,"11,152","11,462","10,981","11,359"
07/30/2020,"11,219","11,335","10,871","11,155"
07/29/2020,"10,982","11,290","10,855","11,230"
07/28/2020,"10,889","11,387","10,595","10,982"
07/27/2020,"9,893","10,906","9,882","10,862"
07/26/2020,"9,729","10,128","9,670","9,893"
07/25/2020,"9,629","9,742","9,538","9,734"
07/24/2020,"9,594","9,634","9,482","9,629"
07/23/2020,"9,380","9,674","9,376","9,594"
07/22/2020,"9,382","9,402","9,305","9,380"
07/21/2020,"9,178","9,440","9,155","9,382"
07/20/2020,"9,176","9,225","9,149","9,178"
07/19/2020,"9,185","9,192","9,119","9,176"
07/18/2020,"9,159","9,208","9,131","9,185"
07/17/2020,"9,104","9,185","8,608","9,159"
07/16/2020,"9,216","9,231","9,051","9,103"
07/15/2020,"9,272","9,277","9,170","9,216"
07/14/2020,"9,256","9,278","9,135","9,272"
07/13/2020,"9,239","9,332","9,210","9,256"
07/12/2020,"9,224","9,345","9,176","9,240"
07/11/2020,"9,237","9,313","9,190","9,224"
07/10/2020,"9,244","9,260","9,133","9,237"
07/09/2020,"9,435","9,473","9,197","9,244"
07/08/2020,"9,258","9,462","9,239","9,435"
07/07/2020,"9,279","9,372","9,220","9,258"
07/06/2020,"9,022","9,353","8,938","9,280"
07/05/2020,"9,131","9,149","9,012","9,022"
07/04/2020,"9,097","9,188","9,054","9,132"
07/03/2020,"9,087","9,147","9,066","9,097"
07/02/2020,"9,243","9,266","8,963","9,087"
07/01/2020,"9,150","9,300","9,102","9,243"
06/30/2020,"9,179","9,231","9,069","9,150"
06/29/2020,"9,111","9,192","9,034","9,178"
06/28/2020,"8,957","9,189","8,945","9,111"
06/27/2020,"9,201","9,212","8,859","8,957"
06/26/2020,"9,277","9,333","9,053","9,201"
06/25/2020,"9,296","9,320","9,018","9,278"
06/24/2020,"9,635","9,669","9,216","9,296"
06/23/2020,"9,640","9,752","9,579","9,644"
06/22/2020,"9,313","9,655","9,278","9,640"
06/21/2020,"9,319","9,405","9,301","9,313"
06/20/2020,"9,317","9,347","9,211","9,319"
06/19/2020,"9,349","9,417","9,237","9,316"
06/18/2020,"9,373","9,476","9,318","9,349"
06/17/2020,"9,499","9,553","9,255","9,379"
06/16/2020,"9,483","9,594","9,383","9,499"
06/15/2020,"9,384","9,484","8,927","9,484"
06/14/2020,"9,408","9,478","9,336","9,384"
06/13/2020,"9,457","9,492","9,366","9,407"
06/12/2020,"9,343","9,558","9,245","9,457"
06/11/2020,"9,870","9,959","9,198","9,338"
06/10/2020,"9,757","9,975","9,717","9,870"
06/09/2020,"9,709","9,855","9,630","9,758"
06/08/2020,"9,731","9,796","9,663","9,709"
06/07/2020,"9,708","9,793","9,409","9,707"
06/06/2020,"9,715","9,734","9,550","9,708"
06/05/2020,"9,786","9,854","9,622","9,715"
06/04/2020,"9,586","9,870","9,477","9,786"
06/03/2020,"9,529","9,637","9,434","9,585"
06/02/2020,"9,671","10,339","9,364","9,529"
06/01/2020,"9,504","9,691","9,400","9,691"
05/31/2020,"9,439","9,728","9,437","9,504"
05/30/2020,"9,417","9,594","9,337","9,439"
05/29/2020,"9,451","9,614","9,348","9,417"
05/28/2020,"9,165","9,518","9,062","9,453"
05/27/2020,"8,867","9,216","8,810","9,163"
05/26/2020,"8,917","9,005","8,723","8,867"
05/25/2020,"9,006","9,080","8,679","8,917"
05/24/2020,"9,235","9,300","8,861","9,006"
05/23/2020,"9,191","9,308","9,100","9,235"
05/22/2020,"9,075","9,263","8,946","9,191"
05/21/2020,"9,592","9,594","8,819","9,075"
05/20/2020,"9,698","9,832","9,380","9,592"
05/19/2020,"9,684","9,882","9,478","9,698"
05/18/2020,"9,741","9,924","9,509","9,684"
05/17/2020,"9,378","9,867","9,337","9,741"
05/16/2020,"9,225","9,576","9,212","9,385"
05/15/2020,"9,656","9,847","9,177","9,225"
05/14/2020,"9,312","9,936","9,281","9,655"
05/13/2020,"8,831","9,331","8,751","9,312"
05/12/2020,"8,636","8,976","8,495","8,832"
05/11/2020,"8,693","9,142","8,239","8,636"
05/10/2020,"9,666","9,685","8,222","8,700"
05/09/2020,"9,994","10,017","9,557","9,666"
05/08/2020,"9,788","10,045","9,742","9,994"
05/07/2020,"9,251","9,959","9,088","9,774"
05/06/2020,"8,960","9,379","8,924","9,251"
05/05/2020,"8,930","9,113","8,782","8,969"
05/04/2020,"8,853","8,952","8,549","8,930"
05/03/2020,"8,946","9,216","8,740","8,861"
05/02/2020,"8,741","9,027","8,729","8,946"
05/01/2020,"8,838","9,070","8,610","8,741"
04/30/2020,"8,918","9,448","8,446","8,830"
04/29/2020,"7,745","8,970","7,724","8,918"
04/28/2020,"7,712","7,789","7,669","7,744"
04/27/2020,"7,603","7,750","7,603","7,708"
04/26/2020,"7,600","7,700","7,535","7,603"
04/25/2020,"7,503","7,602","7,499","7,600"
04/24/2020,"7,557","7,609","7,416","7,531"
04/23/2020,"7,138","7,690","7,042","7,536"
04/22/2020,"6,857","7,164","6,856","7,115"
04/21/2020,"6,897","6,906","6,779","6,891"
04/20/2020,"7,151","7,222","6,851","6,866"
04/19/2020,"7,223","7,250","7,070","7,152"
04/18/2020,"7,087","7,279","7,068","7,223"
04/17/2020,"7,046","7,136","7,009","7,062"
04/16/2020,"6,756","7,145","6,635","7,046"
04/15/2020,"6,872","6,935","6,696","6,756"
04/14/2020,"6,763","6,983","6,763","6,872"
